date,open,high,low,close
2024-04-01 01:09:00,1.07926,1.07928,1.07923,1.07923
2024-04-01 01:10:00,1.07924,1.07934,1.07923,1.07934
2024-04-01 01:11:00,1.07933,1.0794,1.07933,1.07938
2024-04-01 01:12:00,1.07939,1.07944,1.07938,1.07943
2024-04-01 01:13:00,1.07943,1.07944,1.07934,1.07934
2024-04-01 01:14:00,1.07935,1.07942,1.07932,1.07934
2024-04-01 01:15:00,1.07934,1.07943,1.07932,1.07938
2024-04-01 01:16:00,1.07939,1.07942,1.0793,1.07933
2024-04-01 01:17:00,1.07934,1.07937,1.07929,1.07933
2024-04-01 01:18:00,1.07932,1.07933,1.07928,1.07933
2024-04-01 01:19:00,1.07932,1.07943,1.07932,1.07937
2024-04-01 01:20:00,1.07938,1.07938,1.0792,1.0792
2024-04-01 01:21:00,1.0792,1.07928,1.07918,1.07928
2024-04-01 01:22:00,1.07928,1.07933,1.07926,1.07929
2024-04-01 01:23:00,1.0793,1.07933,1.0793,1.07932
2024-04-01 01:24:00,1.07933,1.07935,1.07932,1.07935
2024-04-01 01:25:00,1.07934,1.07934,1.07924,1.07924
2024-04-01 01:26:00,1.07924,1.07924,1.07912,1.07916
2024-04-01 01:27:00,1.07916,1.07925,1.07914,1.07924
2024-04-01 01:28:00,1.07925,1.07925,1.07921,1.07923
2024-04-01 01:29:00,1.07924,1.07925,1.07917,1.07924
2024-04-01 01:30:00,1.07924,1.07933,1.07924,1.07925
2024-04-01 01:31:00,1.07924,1.07925,1.07924,1.07924
2024-04-01 01:32:00,1.07924,1.07928,1.07924,1.07928
2024-04-01 01:33:00,1.07927,1.07927,1.07914,1.07914
2024-04-01 01:34:00,1.07914,1.07922,1.07914,1.0792
2024-04-01 01:35:00,1.0792,1.07922,1.07914,1.07914
2024-04-01 01:36:00,1.07914,1.07914,1.07895,1.07895
2024-04-01 01:37:00,1.07896,1.07905,1.07894,1.07903
2024-04-01 01:38:00,1.07904,1.07906,1.07901,1.07904
2024-04-01 01:39:00,1.07904,1.07908,1.07904,1.07908
2024-04-01 01:40:00,1.07908,1.0791,1.07906,1.07906
2024-04-01 01:41:00,1.07907,1.07916,1.07907,1.07913
2024-04-01 01:42:00,1.07912,1.07914,1.07906,1.0791
2024-04-01 01:43:00,1.0791,1.07914,1.07903,1.07903
2024-04-01 01:44:00,1.07904,1.07908,1.07903,1.07903
2024-04-01 01:45:00,1.07902,1.07902,1.07892,1.07892
2024-04-01 01:46:00,1.07893,1.07894,1.07893,1.07894
2024-04-01 01:47:00,1.07894,1.07895,1.0788,1.0788
2024-04-01 01:48:00,1.0788,1.07884,1.0788,1.07884
2024-04-01 01:49:00,1.07884,1.07884,1.07876,1.07876
2024-04-01 01:50:00,1.07877,1.07888,1.07877,1.07886
